"ensembl_id_original","ensembl_id_clean","gene_symbol","gene_biotype","description","has_symbol","is_protein_coding"
"ENSG00000136327","ENSG00000136327","NKX2-8","protein_coding","NK2 homeobox 8 [Source:HGNC Symbol;Acc:HGNC:16364]",TRUE,TRUE
"ENSG00000201395","ENSG00000201395","RN7SKP257","misc_RNA","RN7SK pseudogene 257 [Source:HGNC Symbol;Acc:HGNC:45981]",TRUE,FALSE
"ENSG00000258661","ENSG00000258661","","lncRNA","novel transcript, antisense to PAX9",FALSE,FALSE
"ENSG00000198807","ENSG00000198807","PAX9","protein_coding","paired box 9 [Source:HGNC Symbol;Acc:HGNC:8623]",TRUE,TRUE
"ENSG00000258988","ENSG00000258988","SF3B4P1","processed_pseudogene","splicing factor 3b, subunit 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19821]",TRUE,FALSE
"ENSG00000072415","ENSG00000072415","PALS1","protein_coding","protein associated with LIN7 1, MAGUK p55 family member [Source:HGNC Symbol;Acc:HGNC:18669]",TRUE,TRUE
"ENSG00000286319","ENSG00000286319","","lncRNA","novel transcript, antisense to MPP5",FALSE,FALSE
"ENSG00000100554","ENSG00000100554","ATP6V1D","protein_coding","ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]",TRUE,TRUE
"ENSG00000100883","ENSG00000100883","SRP54","protein_coding","signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301]",TRUE,TRUE
"ENSG00000211959","ENSG00000211959","IGHV4-39","IG_V_gene","immunoglobulin heavy variable 4-39 [Source:HGNC Symbol;Acc:HGNC:5651]",TRUE,FALSE
"ENSG00000253467","ENSG00000253467","IGHV7-40","IG_V_pseudogene","immunoglobulin heavy variable 7-40 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5666]",TRUE,FALSE
"ENSG00000228757","ENSG00000228757","","unprocessed_pseudogene","pseudogene similar to part of homer homolog (Drosophila) (HOMER)",FALSE,FALSE
"ENSG00000253294","ENSG00000253294","IGHVII-40-1","IG_V_pseudogene","immunoglobulin heavy variable (II)-40-1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5679]",TRUE,FALSE
